"","centroid","new_type","new_class","source","origin"
"23","orfs-translated_CM001774.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"24","orfs-translated_AEJB01000122.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"25","orfs-translated_ANSJ01000058.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"26","orfs-translated_AMLP01000076.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"27","orfs-translated_BANU01000006.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"28","orfs-translated_ANBG01000372.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"29","orfs-translated_CAOM01000016.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","established"
"30","orfs-translated_BAOP01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"31","orfs-translated_BARF01000042.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"32","orfs-translated_KB891854.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"33","orfs-translated_KB892776.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"34","orfs-translated_BARG01000029.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"35","orfs-translated_KB899004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"36","orfs-translated_KB903356.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"37","orfs-translated_KB903251.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"38","orfs-translated_KB904686.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"39","orfs-translated_KB912962.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"40","orfs-translated_KB913030.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"41","orfs-translated_KB913032.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"42","orfs-translated_AOPZ01000079.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"43","orfs-translated_AOHQ01000141.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"44","orfs-translated_ANPL01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"45","orfs-translated_ATXA01000012.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"46","orfs-translated_AUIK01000008.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"47","orfs-translated_AUKG01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"48","orfs-translated_AUEQ01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"49","orfs-translated_AUBE01000015.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"50","orfs-translated_AUWR01000016.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"51","orfs-translated_AUWS01000030.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"52","orfs-translated_AUWP01000051.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"53","orfs-translated_AUWQ01000024.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"54","orfs-translated_HG315953.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"55","orfs-translated_KI301992.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"56","orfs-translated_ASHX02000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"57","orfs-translated_AYJW01000037.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"58","orfs-translated_CM002280.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"59","orfs-translated_CM002285.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"60","orfs-translated_AZVE01000025.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"61","orfs-translated_JAGZ01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"62","orfs-translated_HG530068.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"63","orfs-translated_JDUZ01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"64","orfs-translated_HG964450.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"65","orfs-translated_CCBG010000002.1_seq2_1@@@aac2p","aminoglycoside","aac2p","fargene","established"
"66","orfs-translated_JHVP01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"67","orfs-translated_JHVP01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"68","orfs-translated_JIAW01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"69","orfs-translated_JIAI01000011.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"70","orfs-translated_SUMB01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"71","orfs-translated_LWUA01000278.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"72","orfs-translated_BJFL01000054.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"73","orfs-translated_BJHX01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"74","orfs-translated_VBZC01000023.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"75","orfs-translated_SYAB01000399.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"76","orfs-translated_SXTV01000355.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"77","orfs-translated_SYOG01000580.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"78","orfs-translated_PYSU01000038.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"79","orfs-translated_SZVR01000012.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"80","orfs-translated_VBFZ01000111.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"81","orfs-translated_VBHW01000228.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"82","orfs-translated_VBFG01000104.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"83","orfs-translated_VBEC01000026.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"84","orfs-translated_VAYF01000091.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"85","orfs-translated_VAWJ01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"86","orfs-translated_VAWY01000025.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"87","orfs-translated_SJEW01000020.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"88","orfs-translated_SJEW01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"89","orfs-translated_VBVW01000299.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"90","orfs-translated_VDMR01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"91","orfs-translated_VDMS01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"92","orfs-translated_VAUD01000027.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"93","orfs-translated_RCZG01000016.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"94","orfs-translated_BJMN01000014.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"95","orfs-translated_BJND01000033.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"96","orfs-translated_BJNH01000059.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"97","orfs-translated_VFNP01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"98","orfs-translated_VFNX01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"99","orfs-translated_VFOY01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"100","orfs-translated_VKAA01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"101","orfs-translated_SKVA01000025.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"102","orfs-translated_BJTV01000012.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"103","orfs-translated_NISY01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"104","orfs-translated_VEDM01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"105","orfs-translated_RECL01000241.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"106","orfs-translated_VJZA01000083.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"107","orfs-translated_VMQV01000028.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"108","orfs-translated_VIWY01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"109","orfs-translated_VIWX01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"110","orfs-translated_BKAE01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"111","orfs-translated_BKAF01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"112","orfs-translated_VLKF01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"113","orfs-translated_SSGA01000167.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"114","orfs-translated_SSGB01000228.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"115","orfs-translated_VDUX01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"116","orfs-translated_RDBJ01000038.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"117","orfs-translated_RDBI01000054.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"118","orfs-translated_RDBH01000141.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"119","orfs-translated_VIYJ01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"120","orfs-translated_VNHI01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"121","orfs-translated_VSZQ01000362.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"122","orfs-translated_VSRY01000165.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"123","orfs-translated_NPKR01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"124","orfs-translated_NPKR01000008.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"125","orfs-translated_NPKT01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"126","orfs-translated_NPKP01000014.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"127","orfs-translated_NPKP01000006.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"128","orfs-translated_NPKO01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"129","orfs-translated_NPKO01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"130","orfs-translated_VTZN01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"131","orfs-translated_FKJI03000033.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"132","orfs-translated_FLTQ01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"133","orfs-translated_FMYS01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"134","orfs-translated_FLSP01000066.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"135","orfs-translated_FMCH01000600.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"136","orfs-translated_FMDK01000725.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"137","orfs-translated_FNCN01000025.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"138","orfs-translated_FNCF01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"139","orfs-translated_FMUH01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"140","orfs-translated_FMZM01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"141","orfs-translated_FMVI01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"142","orfs-translated_FNAW01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"143","orfs-translated_FNKS01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"144","orfs-translated_FNBT01000007.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"145","orfs-translated_FNHI01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"146","orfs-translated_FNIR01000018.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"147","orfs-translated_FNSG01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"148","orfs-translated_LT629757.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"149","orfs-translated_FNSZ01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"150","orfs-translated_FNTE01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"151","orfs-translated_FNTQ01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"152","orfs-translated_FNSO01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"153","orfs-translated_FNOK01000074.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"154","orfs-translated_FNON01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"155","orfs-translated_FNOT01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"156","orfs-translated_FNQB01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"157","orfs-translated_FNVB01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"158","orfs-translated_LT629971.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"159","orfs-translated_FOAZ01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"160","orfs-translated_FODD01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"161","orfs-translated_FOFC01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"162","orfs-translated_FOJN01000022.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"163","orfs-translated_FOKG01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"164","orfs-translated_FOMD01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"165","orfs-translated_FONG01000016.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"166","orfs-translated_FOSG01000006.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"167","orfs-translated_FOUY01000006.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"168","orfs-translated_FOWW01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"169","orfs-translated_FQVN01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"170","orfs-translated_FRDM01000008.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"171","orfs-translated_FUEZ01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"172","orfs-translated_LT721901.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"173","orfs-translated_FWFD01000015.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"174","orfs-translated_FUWC01000001.1_seq2_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"175","orfs-translated_FWXV01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"176","orfs-translated_FZNR01000022.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"177","orfs-translated_FZPH01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"178","orfs-translated_JIAT01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"179","orfs-translated_JNXO01005577.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"180","orfs-translated_KL568831.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"181","orfs-translated_KL569464.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"182","orfs-translated_KL571250.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"183","orfs-translated_KL572311.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"184","orfs-translated_KL575080.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"185","orfs-translated_KL591007.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"186","orfs-translated_JNWZ01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"187","orfs-translated_JNXC01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"188","orfs-translated_JNYC01000033.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"189","orfs-translated_JNYO01000019.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"190","orfs-translated_JNWJ01000014.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"191","orfs-translated_JNWY01000124.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"192","orfs-translated_JNYV01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"193","orfs-translated_JNZA01000011.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"194","orfs-translated_JNZY01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"195","orfs-translated_JOAI01000080.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"196","orfs-translated_JOBE01000034.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"197","orfs-translated_JODF01000024.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"198","orfs-translated_JOEI01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"199","orfs-translated_JOEW01000030.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"200","orfs-translated_JOBD01000043.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"201","orfs-translated_JOBP01000045.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"202","orfs-translated_JOCB01000097.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"203","orfs-translated_JODL01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"204","orfs-translated_JOFS01000020.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"205","orfs-translated_JOHB01000065.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"206","orfs-translated_JOHN01000024.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"207","orfs-translated_JOHR01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"208","orfs-translated_JOID01000030.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"209","orfs-translated_JOIG01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"210","orfs-translated_JOIR01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"211","orfs-translated_JOIU01000019.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"212","orfs-translated_JOIS01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"213","orfs-translated_JOIY01000024.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"214","orfs-translated_JOJE01000020.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"215","orfs-translated_JOAW01000090.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"216","orfs-translated_JOCF01000114.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"217","orfs-translated_JOBX01000007.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"218","orfs-translated_JOCQ01000103.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"219","orfs-translated_JOEL01000061.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"220","orfs-translated_JOFO01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"221","orfs-translated_JOHZ01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"222","orfs-translated_KL591077.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"223","orfs-translated_KL592214.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"224","orfs-translated_KL592600.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"225","orfs-translated_JOCD01000159.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"226","orfs-translated_JNZH01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"227","orfs-translated_JNXD01000012.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"228","orfs-translated_JQLN01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"229","orfs-translated_JQMJ01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"230","orfs-translated_JQJU01000004.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"231","orfs-translated_JQKG01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"232","orfs-translated_JQLE01000026.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"233","orfs-translated_BBKA01000012.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"234","orfs-translated_CP031508.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","established"
"235","orfs-translated_JRTT01000139.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"236","orfs-translated_BBPO01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"237","orfs-translated_JTDJ01000024.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"238","orfs-translated_KN708638.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"239","orfs-translated_JTJW01000010.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"240","orfs-translated_LN611458.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"241","orfs-translated_BBNO01000008.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"242","orfs-translated_JXQS01000063.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"243","orfs-translated_JXUU01000003.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"244","orfs-translated_JXYP01000021.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"245","orfs-translated_JZWZ01000079.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"246","orfs-translated_JRML01000006.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"247","orfs-translated_JRMK01000087.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"248","orfs-translated_BBOM01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"249","orfs-translated_LAVA02000020.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"250","orfs-translated_LAJC01000007.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"251","orfs-translated_LATD01000276.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"252","orfs-translated_LAQS01000001.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"253","orfs-translated_LDPO01000016.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"254","orfs-translated_CP011799.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"255","orfs-translated_JYNU01000013.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"256","orfs-translated_LFML01000032.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"257","orfs-translated_CVRZ01000008.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"258","orfs-translated_CTEF01000005.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"259","orfs-translated_LAVK01000094.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"260","orfs-translated_OCNE01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
